run_id,random_seed,val_sample_size,training_time_seconds,y_val_syl_prob,sp_f1_score,sp_precision,sp_recall,sp_brier_score,sp_syllable_accuracy,sp_average_lev,hyph_f1_score,hyph_precision,hyph_recall,hyph_brier_score,hyph_syllable_accuracy,hyph_average_lev,syllable_module_syl_count_accuracy,pyph_f1_score,pyph_precision,pyph_recall,pyph_brier_score,pyph_syllable_accuracy,pyph_average_lev
1.0,1682287354.0,6500.0,690.2680995464325,0.2085723731549367,0.9157175398633257,0.912705031971087,0.91875,0.0,0.9056923076923077,1.1595259799453055,0.8832425276236061,0.972418432559704,0.8090485074626865,0.0,0.7270769230769231,1.1789360558839335,0.736,0.8612019723673289,0.9034108368329407,0.8227611940298507,0.0,0.6836923076923077,1.2158433466844683
2.0,1682288665.0,6500.0,912.439742565155,0.20766325298859079,0.9096258932324506,0.9062819916240111,0.912994562160135,0.0,0.8987692307692308,1.1418861512319456,0.8870753850861981,0.9727069351230425,0.8153009563097694,0.0,0.7404615384615385,1.1743016759776537,0.7396923076923076,0.8648277889373377,0.9056952283222165,0.8274892180761297,0.0,0.6973846153846154,1.2099447513812154
3.0,1682290203.0,6500.0,1101.0751631259918,0.20832767682252779,0.9094995084039516,0.9143368163418997,0.9047131147540983,0.0,0.9,1.17083692838654,0.8821258002235545,0.9703778224904985,0.8085879284649776,0.0,0.73,1.1926406926406927,0.7356923076923076,0.860737273259216,0.903192795742939,0.8220938897168405,0.0,0.6855384615384615,1.2201793721973093
4.0,1682291916.0,6500.0,1263.7632813453674,0.20743370385458496,0.9056392032170578,0.9055545165513372,0.9057239057239057,0.0,0.8964615384615384,1.144019528071603,0.8813248407643312,0.9680958244710623,0.8088290310512533,0.0,0.7290769230769231,1.1882732651963421,0.7312307692307692,0.8608436384965051,0.9016074536705232,0.8236064347175458,0.0,0.6884615384615385,1.220773381294964
5.0,1682293826.0,6500.0,1820.0575938224792,0.20846571096474234,0.9034873543096698,0.8955251141552512,0.9115924514269778,0.0,0.9024615384615384,1.1906327033689401,0.8815636234746063,0.9680827402135231,0.8092404945616808,0.0,0.7309230769230769,1.1967567567567567,0.7315384615384616,0.8574480481646922,0.8974489277365586,0.8208608348052431,0.0,0.6803076923076923,1.2226117440841366
6.0,1682296299.0,6500.0,2404.74840760231,0.21076302729528537,0.9087569454011111,0.9072155496470157,0.9103035878564857,0.0,0.8947692307692308,1.151888341543514,0.8807182985553772,0.9683432605338628,0.8076356945722171,0.0,0.7232307692307692,1.1899736147757256,0.7395384615384616,0.8611835119220004,0.9058692120227457,0.8206991720331187,0.0,0.6801538461538461,1.2145068553737284
7.0,1682299358.0,6500.0,2698.2724537849426,0.2072904483430799,0.9024748024416789,0.9081904761904762,0.8968306216495815,0.0,0.896,1.1558232931726908,0.8789108656563062,0.9685235507246377,0.804476629361422,0.0,0.7273846153846154,1.1948608137044967,0.7356923076923076,0.8571569303516896,0.8998862343572241,0.8183015141540487,0.0,0.6807692307692308,1.214977973568282
8.0,1682302713.0,6500.0,3656.2329380512238,0.20792310841635311,0.9103795579595263,0.9053978853644964,0.9154163540885222,0.0,0.9132307692307692,1.1571428571428573,0.8839869281045751,0.9704035874439462,0.8117029257314329,0.0,0.7330769230769231,1.17907995618839,0.734,0.8620790916209867,0.9016175266175266,0.8258627156789198,0.0,0.6852307692307692,1.209062359802602
9.0,1682307036.0,6500.0,4295.067348718643,0.20745124672552634,0.906905796431543,0.8962996802192782,0.9177659275891104,0.0,0.8973846153846153,1.1542247744052503,0.8844358766233764,0.9660866674055192,0.8155112732715876,0.0,0.7389230769230769,1.1968854282536152,0.7318461538461538,0.8647225202379791,0.9031272282774778,0.8294508373093835,0.0,0.7013846153846154,1.2255813953488373
10.0,1682312011.0,6500.0,4829.122139453888,0.2094783962631374,0.9076353540027765,0.9039542815005991,0.9113465291329802,0.0,0.8992307692307693,1.1396694214876033,0.878698824483178,0.9661281337047354,0.8057801319579965,0.0,0.7235384615384616,1.184389732844421,0.7315384615384616,0.8592859578198822,0.9028659160696009,0.8197193569370876,0.0,0.681076923076923,1.2140969162995594
